subject_id,task,admission number,date of entry,name,quality,age,place of birth,port sailed out of,years at sea,last services,under what circumstances admitted (or nature of complaint),date of discharge,how disposed of,number of days victualled,complete
44121914,10,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,11,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,13,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,14,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,15,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,16,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,17,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,19,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,20,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,21,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,22,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,23,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,25,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,26,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,27,9.0,6.0,6.0,4.0,10.0,5.0,,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,28,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,29,9.0,6.0,6.0,4.0,10.0,5.0,,3.0,3.0,8.0,4.0,3.0,3.0,True
44121918,1,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,2,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,3,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,4,11.0,3.0,5.0,3.0,6.0,4.0,,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,5,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,7,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,8,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,9,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,10,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,11,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,13,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,14,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,15,11.0,3.0,5.0,3.0,6.0,4.0,,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,16,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,17,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,19,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,20,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,21,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,22,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,23,11.0,3.0,5.0,3.0,6.0,4.0,,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,25,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,26,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,27,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,28,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121918,29,11.0,3.0,5.0,3.0,6.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,True
44121920,1,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,2,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,3,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,4,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,5,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,7,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,8,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,9,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,10,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,11,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,13,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,14,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,15,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,16,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,17,8.0,4.0,3.0,3.0,6.0,4.0,,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,19,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,20,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,21,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,22,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,23,8.0,4.0,3.0,3.0,6.0,4.0,,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,25,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,26,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,27,8.0,4.0,3.0,3.0,6.0,4.0,,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,28,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121920,29,8.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,True
44121923,1,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,2,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,3,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,4,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,5,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,7,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,8,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
